   No.   	Time N (s)	Depth N (µm)	Force N (mN)
    1	    0.109	     0.00666	     0.09183	1	Find Surface
    2	    0.608	     0.00064	     0.06555
    3	    0.904	     0.00196	     0.04427
    4	    1.201	     0.00409	     0.06668
    5	    1.513	     0.00304	     0.05211
    6	    1.809	     0.00035	     0.03541
    7	    2.106	     0.00171	     0.02316
    8	    2.402	     0.00120	     0.01772
    9	    2.808	     0.01104	     0.19991	2	Load
   10	    3.213	     0.01662	     0.45817
   11	    3.603	     0.02530	     0.76261
   12	    4.009	     0.03832	     1.22849
   13	    4.414	     0.04392	     1.59365
   14	    4.804	     0.05062	     2.16647
   15	    5.210	     0.06025	     2.75077
   16	    5.616	     0.06775	     3.38022
   17	    6.006	     0.07617	     3.94642
   18	    6.411	     0.08419	     4.61037
   19	    6.801	     0.08368	     4.59700	3	Unload
   20	    7.207	     0.07900	     4.12745
   21	    7.612	     0.07087	     3.51311
   22	    8.002	     0.06161	     2.85128
   23	    8.408	     0.05195	     2.20934
   24	    8.814	     0.04219	     1.67026
   25	    9.204	     0.03476	     1.18893
   26	    9.609	     0.02178	     0.77014
   27	   10.015	     0.01404	     0.38532
   28	   10.405	     0.00146	     0.07212
   29	   10.608	     0.00304	     0.17484	4	Load
   30	   10.810	     0.01149	     0.41381
   31	   11.013	     0.01959	     0.68520
   32	   11.216	     0.02622	     1.00401
   33	   11.403	     0.03592	     1.38388
   34	   11.606	     0.04135	     1.86622
   35	   11.809	     0.04448	     2.44485
   36	   12.012	     0.05483	     3.11759
   37	   12.214	     0.06707	     3.69884
   38	   12.402	     0.07485	     4.22875
   39	   12.604	     0.08466	     4.85499
   40	   12.807	     0.09058	     5.50379
   41	   13.010	     0.10063	     6.18153
   42	   13.213	     0.10638	     6.83679
   43	   13.416	     0.11688	     7.55043
   44	   13.603	     0.12656	     8.22560
   45	   13.806	     0.13555	     8.95332
   46	   14.008	     0.14767	     9.68772
   47	   14.211	     0.15676	    10.29870
   48	   14.414	     0.16369	    10.89037
   49	   14.601	     0.17272	    11.29613	5	Unload
   50	   14.804	     0.17098	    11.13002
   51	   15.007	     0.16903	    10.70608
   52	   15.210	     0.16145	    10.16698
   53	   15.412	     0.15552	     9.55543
   54	   15.600	     0.14636	     8.85941
   55	   15.802	     0.13508	     8.19104
   56	   16.005	     0.12511	     7.51460
   57	   16.208	     0.11861	     6.84263
   58	   16.411	     0.10848	     6.17504
   59	   16.614	     0.10050	     5.49621
   60	   16.801	     0.08935	     4.85640
   61	   17.004	     0.08057	     4.19545
   62	   17.206	     0.07121	     3.55894
   63	   17.409	     0.05915	     3.00132
   64	   17.612	     0.05468	     2.38589
   65	   17.815	     0.04372	     1.78461
   66	   18.002	     0.03517	     1.23072
   67	   18.205	     0.02151	     0.73335
   68	   18.408	     0.01096	     0.33406
   69	   18.610	     0.00699	     0.21037	6	Load
   70	   18.813	     0.01152	     0.36254
   71	   19.016	     0.01949	     0.65919
   72	   19.203	     0.02212	     1.04882
   73	   19.406	     0.03496	     1.50418
   74	   19.609	     0.04106	     1.96256
   75	   19.812	     0.04814	     2.46669
   76	   20.014	     0.05631	     3.02344
   77	   20.202	     0.06660	     3.59307
   78	   20.404	     0.07726	     4.12441
   79	   20.607	     0.08369	     4.70514
   80	   20.810	     0.09129	     5.31194
   81	   21.013	     0.09819	     5.92662
   82	   21.216	     0.10752	     6.59488
   83	   21.403	     0.11538	     7.22822
   84	   21.606	     0.12328	     7.95856
   85	   21.808	     0.13336	     8.66632
   86	   22.011	     0.14371	     9.32885
   87	   22.214	     0.15445	     9.99954
   88	   22.401	     0.16261	    10.61550
   89	   22.604	     0.17168	    11.30753
   90	   22.807	     0.18107	    12.04436
   91	   23.010	     0.19602	    12.69681
   92	   23.212	     0.21811	    12.93443
   93	   23.415	     0.23203	    12.85899
   94	   23.602	     0.24076	    12.81144
   95	   23.805	     0.24824	    12.81593
   96	   24.008	     0.25574	    12.92656
   97	   24.211	     0.26641	    13.04173
   98	   24.414	     0.27777	    13.12795
   99	   24.601	     0.27973	    12.97098	7	Unload
  100	   24.804	     0.27813	    12.47699
  101	   25.006	     0.27219	    11.78417
  102	   25.209	     0.26105	    11.11710
  103	   25.412	     0.25410	    10.47407
  104	   25.615	     0.24603	     9.73281
  105	   25.802	     0.23778	     9.03330
  106	   26.005	     0.22388	     8.30138
  107	   26.208	     0.21536	     7.64508
  108	   26.410	     0.20792	     6.98551
  109	   26.613	     0.19881	     6.28614
  110	   26.800	     0.18945	     5.58814
  111	   27.003	     0.18052	     4.93574
  112	   27.206	     0.17149	     4.28772
  113	   27.409	     0.16090	     3.63728
  114	   27.612	     0.15206	     3.01332
  115	   27.814	     0.14288	     2.44743
  116	   28.002	     0.13513	     1.87440
  117	   28.204	     0.12587	     1.27867
  118	   28.407	     0.11286	     0.76974
  119	   28.610	     0.09896	     0.41760
  120	   28.813	     0.08695	     0.14543
  121	   29.016	     0.07335	     0.02322
  122	   29.203	     0.06069	     0.01431
  123	   29.406	     0.04919	     0.01748
  124	   29.608	     0.03913	     0.01472
  125	   29.811	     0.03079	     0.01969
  126	   30.014	     0.02092	     0.02795
  127	   30.201	     0.01013	     0.02105
  128	   30.404	     0.00117	     0.02361
  129	   30.607	     0.00928	     0.01297	8	Load
  130	   30.810	     0.01876	     0.02666
  131	   31.012	     0.02931	     0.02750
  132	   31.215	     0.04015	     0.02016
  133	   31.402	     0.05103	     0.02309
  134	   31.605	     0.05977	     0.02138
  135	   31.808	     0.06753	     0.02582
  136	   32.011	     0.07731	     0.08095
  137	   32.214	     0.08240	     0.17138
  138	   32.401	     0.09151	     0.41225
  139	   32.604	     0.09825	     0.68083
  140	   32.806	     0.10712	     1.04981
  141	   33.009	     0.11326	     1.43978
  142	   33.212	     0.12279	     1.90842
  143	   33.415	     0.12757	     2.41119
  144	   33.602	     0.13627	     2.97520
  145	   33.805	     0.14513	     3.53430
  146	   34.008	     0.15343	     4.12511
  147	   34.210	     0.16151	     4.76435
  148	   34.413	     0.17101	     5.35231
  149	   34.616	     0.18065	     5.98946
  150	   34.803	     0.18661	     6.64067
  151	   35.006	     0.19647	     7.29202
  152	   35.209	     0.20693	     7.90579
  153	   35.412	     0.21428	     8.52744
  154	   35.614	     0.22323	     9.18927
  155	   35.802	     0.23444	     9.81301
  156	   36.004	     0.24273	    10.43998
  157	   36.207	     0.25416	    11.07343
  158	   36.410	     0.25958	    11.76691
  159	   36.613	     0.27024	    12.46147
  160	   36.816	     0.28217	    13.13912
  161	   37.003	     0.29775	    13.61966
  162	   37.206	     0.32629	    13.52763
  163	   37.408	     0.33438	    13.30630
  164	   37.611	     0.33818	    13.22071
  165	   37.814	     0.34370	    13.33317
  166	   38.001	     0.35438	    13.50491
  167	   38.204	     0.36494	    13.68424
  168	   38.407	     0.37706	    13.74973
  169	   38.610	     0.38461	    13.46013	9	Unload
  170	   38.812	     0.37843	    12.88405
  171	   39.015	     0.37360	    12.20656
  172	   39.202	     0.36285	    11.52522
  173	   39.405	     0.35450	    10.81654
  174	   39.608	     0.34638	    10.02346
  175	   39.811	     0.33115	     9.32541
  176	   40.014	     0.32477	     8.64424
  177	   40.201	     0.31203	     8.00021
  178	   40.404	     0.30779	     7.32000
  179	   40.606	     0.29352	     6.65747
  180	   40.809	     0.28517	     6.09232
  181	   41.012	     0.28166	     5.43149
  182	   41.215	     0.27030	     4.80361
  183	   41.402	     0.25879	     4.17373
  184	   41.605	     0.25486	     3.54388
  185	   41.808	     0.24171	     2.87856
  186	   42.010	     0.23119	     2.35627
  187	   42.213	     0.22189	     1.80663
  188	   42.416	     0.21544	     1.28382
  189	   42.603	     0.19861	     0.81232
  190	   42.806	     0.19037	     0.47436
  191	   43.009	     0.17871	     0.14124
  192	   43.212	     0.16093	     0.02959
  193	   43.414	     0.15019	     0.02664
  194	   43.602	     0.14059	     0.02180
  195	   43.804	     0.12889	     0.02380
  196	   44.007	     0.11908	     0.01451
  197	   44.210	     0.11057	     0.01814
  198	   44.413	     0.09995	     0.02305
  199	   44.616	     0.08983	     0.01177
  200	   44.803	     0.08045	     0.00674
  201	   45.006	     0.06989	     0.01646
  202	   45.208	     0.05971	     0.01231
  203	   45.411	     0.04902	     0.01475
  204	   45.614	     0.04155	     0.01013
  205	   45.801	     0.03231	     0.01392
  206	   46.004	     0.01902	     0.01240
  207	   46.207	     0.01153	     0.00826
  208	   46.410	    -0.00028	     0.00012
  209	   46.612	     0.01768	     0.01222	10	Load
  210	   46.815	     0.03840	     0.00453
  211	   47.002	     0.05896	     0.00953
  212	   47.205	     0.07974	     0.01300
  213	   47.408	     0.09970	     0.01132
  214	   47.611	     0.11813	     0.01962
  215	   47.814	     0.13792	     0.00670
  216	   48.001	     0.15685	     0.03541
  217	   48.204	     0.17095	     0.21110
  218	   48.406	     0.18433	     0.61052
  219	   48.609	     0.19347	     1.22838
  220	   48.812	     0.20921	     1.97588
  221	   49.015	     0.22234	     2.90482
  222	   49.202	     0.23872	     3.90631
  223	   49.405	     0.25452	     5.12371
  224	   49.608	     0.26894	     6.38021
  225	   49.810	     0.28951	     7.58611
  226	   50.013	     0.30847	     8.78852
  227	   50.200	     0.32501	     9.95556
  228	   50.403	     0.34277	    11.27005
  229	   50.606	     0.36281	    12.61063
  230	   50.809	     0.38492	    13.77481
  231	   51.012	     0.43671	    14.35306
  232	   51.214	     0.46719	    14.02327
  233	   51.402	     0.47725	    13.81656
  234	   51.604	     0.48298	    13.37976	11	Unload
  235	   51.807	     0.47241	    12.40775
  236	   52.010	     0.45579	    11.31512
  237	   52.213	     0.44243	    10.07809
  238	   52.416	     0.42457	     8.74793
  239	   52.603	     0.40656	     7.44856
  240	   52.806	     0.38748	     6.03545
  241	   53.008	     0.36895	     4.79347
  242	   53.211	     0.35067	     3.59194
  243	   53.414	     0.33238	     2.34541
  244	   53.601	     0.31024	     1.26395
  245	   53.804	     0.28325	     0.34436
  246	   54.007	     0.24357	     0.03298
  247	   54.210	     0.21992	     0.02894
  248	   54.412	     0.20161	     0.03070
  249	   54.615	     0.18150	     0.03418
  250	   54.802	     0.16153	     0.03266
  251	   55.005	     0.14095	     0.03288
  252	   55.208	     0.12169	     0.03389
  253	   55.411	     0.10137	     0.02704
  254	   55.614	     0.08233	     0.03064
  255	   55.801	     0.06105	     0.03268
  256	   56.004	     0.04022	     0.03024
  257	   56.206	     0.02259	     0.03015
  258	   56.409	     0.00217	     0.04068
  259	   56.612	     0.01746	     0.03958	12	Load
  260	   56.815	     0.03878	     0.03545
  261	   57.002	     0.05735	     0.03848
  262	   57.205	     0.08033	     0.05255
  263	   57.408	     0.09761	     0.05090
  264	   57.610	     0.11808	     0.05180
  265	   57.813	     0.13810	     0.04532
  266	   58.016	     0.15935	     0.05234
  267	   58.203	     0.17912	     0.05000
  268	   58.406	     0.19798	     0.06289
  269	   58.609	     0.21905	     0.04381
  270	   58.812	     0.23832	     0.04482
  271	   59.014	     0.25705	     0.09649
  272	   59.202	     0.26933	     0.24113
  273	   59.404	     0.28081	     0.69951
  274	   59.607	     0.29277	     1.34852
  275	   59.810	     0.30997	     2.16154
  276	   60.013	     0.32220	     3.09754
  277	   60.200	     0.33754	     4.16857
  278	   60.403	     0.35072	     5.34098
  279	   60.606	     0.37155	     6.59673
  280	   60.808	     0.38927	     7.83388
  281	   61.011	     0.40641	     8.97871
  282	   61.214	     0.42261	    10.29434
  283	   61.401	     0.44542	    11.50606
  284	   61.604	     0.46709	    12.71208
  285	   61.807	     0.48609	    13.87018
  286	   62.010	     0.54183	    14.34740
  287	   62.212	     0.56706	    13.86423
  288	   62.415	     0.57803	    13.71882
  289	   62.602	     0.58002	    13.43231	13	Unload
  290	   62.805	     0.57055	    12.56647
  291	   63.008	     0.55634	    11.46505
  292	   63.211	     0.53782	    10.34363
  293	   63.414	     0.52141	     9.06326
  294	   63.601	     0.50619	     7.82132
  295	   63.804	     0.48751	     6.45585
  296	   64.006	     0.46387	     5.23123
  297	   64.209	     0.44797	     3.97509
  298	   64.412	     0.43211	     2.81212
  299	   64.615	     0.40996	     1.67167
  300	   64.802	     0.38438	     0.75410
  301	   65.005	     0.35085	     0.10114
  302	   65.208	     0.32024	     0.08152
  303	   65.410	     0.30164	     0.07824
  304	   65.613	     0.28191	     0.08195
  305	   65.816	     0.26229	     0.08179
  306	   66.003	     0.24119	     0.07870
  307	   66.206	     0.21928	     0.07121
  308	   66.409	     0.20075	     0.07972
  309	   66.612	     0.18061	     0.08305
  310	   66.814	     0.16099	     0.08901
  311	   67.002	     0.14121	     0.08678
  312	   67.204	     0.12151	     0.08955
  313	   67.407	     0.10138	     0.09263
  314	   67.610	     0.08063	     0.09545
  315	   67.813	     0.06015	     0.08405
  316	   68.016	     0.04176	     0.09382
  317	   68.203	     0.02087	     0.09513
  318	   68.406	    -0.00037	     0.09692
  319	   68.608	     0.01873	     0.09493	14	Load
  320	   68.811	     0.03841	     0.09611
  321	   69.014	     0.05661	     0.09753
  322	   69.201	     0.07720	     0.09704
  323	   69.404	     0.09714	     0.10543
  324	   69.607	     0.11809	     0.10486
  325	   69.810	     0.13890	     0.10458
  326	   70.012	     0.15898	     0.10309
  327	   70.215	     0.17755	     0.11467
  328	   70.402	     0.19934	     0.11219
  329	   70.605	     0.21839	     0.10879
  330	   70.808	     0.23782	     0.10929
  331	   71.011	     0.25808	     0.10815
  332	   71.214	     0.27721	     0.10908
  333	   71.401	     0.30027	     0.11073
  334	   71.604	     0.31843	     0.10412
  335	   71.806	     0.33626	     0.14968
  336	   72.009	     0.35196	     0.26783
  337	   72.212	     0.36275	     0.60760
  338	   72.415	     0.37574	     1.23482
  339	   72.602	     0.38829	     1.96171
  340	   72.805	     0.40571	     2.85694
  341	   73.008	     0.41868	     3.94768
  342	   73.210	     0.43647	     5.00347
  343	   73.413	     0.45162	     6.17514
  344	   73.616	     0.46789	     7.38897
  345	   73.803	     0.48655	     8.60715
  346	   74.006	     0.50415	     9.84344
  347	   74.209	     0.52857	    11.08111
  348	   74.412	     0.54618	    12.16439
  349	   74.614	     0.56651	    13.32331
  350	   74.802	     0.59277	    14.24528
  351	   75.004	     0.65317	    14.14346
  352	   75.207	     0.66743	    13.57271
  353	   75.410	     0.67243	    13.55877
  354	   75.613	     0.67586	    13.37232	15	Unload
  355	   75.816	     0.66780	    12.60473
  356	   76.003	     0.65599	    11.63852
  357	   76.206	     0.63846	    10.39361
  358	   76.408	     0.62484	     9.11289
  359	   76.611	     0.60790	     7.74818
  360	   76.814	     0.58553	     6.38342
  361	   77.001	     0.57055	     5.18929
  362	   77.204	     0.54938	     3.88678
  363	   77.407	     0.52889	     2.71601
  364	   77.610	     0.51146	     1.59799
  365	   77.812	     0.48526	     0.68158
  366	   78.015	     0.44983	     0.13992
  367	   78.202	     0.42006	     0.13046
  368	   78.405	     0.39941	     0.12604
  369	   78.608	     0.38018	     0.12828
  370	   78.811	     0.35931	     0.11490
  371	   79.014	     0.34285	     0.11791
  372	   79.201	     0.32079	     0.12010
  373	   79.404	     0.30148	     0.13183
  374	   79.606	     0.27864	     0.11593
  375	   79.809	     0.26233	     0.12637
  376	   80.012	     0.24108	     0.12513
  377	   80.215	     0.22333	     0.12023
  378	   80.402	     0.20342	     0.12423
  379	   80.605	     0.18018	     0.11987
  380	   80.808	     0.16002	     0.12278
  381	   81.010	     0.14156	     0.12549
  382	   81.213	     0.12196	     0.11786
  383	   81.416	     0.10206	     0.12438
  384	   81.603	     0.08198	     0.11608
  385	   81.806	     0.06022	     0.11752
  386	   82.009	     0.03928	     0.12207
  387	   82.212	     0.02097	     0.12143
  388	   82.414	     0.00115	     0.12154
  389	   82.602	     0.01779	     0.12152	16	Load
  390	   82.804	     0.03952	     0.11352
  391	   83.007	     0.05862	     0.13437
  392	   83.210	     0.07728	     0.12500
  393	   83.413	     0.09749	     0.12483
  394	   83.616	     0.11649	     0.11764
  395	   83.803	     0.13756	     0.12152
  396	   84.006	     0.16037	     0.12705
  397	   84.208	     0.17871	     0.11732
  398	   84.411	     0.19881	     0.12046
  399	   84.614	     0.21916	     0.12907
  400	   84.801	     0.23854	     0.12365
  401	   85.004	     0.25958	     0.12704
  402	   85.207	     0.27970	     0.13491
  403	   85.410	     0.29843	     0.13264
  404	   85.612	     0.31823	     0.13545
  405	   85.815	     0.33734	     0.13838
  406	   86.002	     0.35875	     0.13482
  407	   86.205	     0.37939	     0.13450
  408	   86.408	     0.40044	     0.13439
  409	   86.611	     0.41748	     0.12591
  410	   86.814	     0.43582	     0.16027
  411	   87.001	     0.45033	     0.34347
  412	   87.204	     0.46034	     0.71375
  413	   87.406	     0.47593	     1.36410
  414	   87.609	     0.49348	     2.14179
  415	   87.812	     0.50317	     2.99554
  416	   88.015	     0.51796	     4.03284
  417	   88.202	     0.53123	     5.19769
  418	   88.405	     0.55249	     6.41937
  419	   88.608	     0.57116	     7.64574
  420	   88.810	     0.58789	     8.79057
  421	   89.013	     0.60666	     9.99517
  422	   89.216	     0.62654	    11.21495
  423	   89.403	     0.64809	    12.25731
  424	   89.606	     0.67025	    13.32823
  425	   89.809	     0.70257	    14.17628
  426	   90.012	     0.75769	    13.79006
  427	   90.214	     0.76420	    13.26136
  428	   90.402	     0.76722	    13.29314
  429	   90.604	     0.77507	    13.19308	17	Unload
  430	   90.807	     0.77000	    12.38501
  431	   91.010	     0.75441	    11.43946
  432	   91.213	     0.74091	    10.22682
  433	   91.416	     0.72130	     8.98058
  434	   91.603	     0.70554	     7.78608
  435	   91.806	     0.68650	     6.47230
  436	   92.008	     0.66756	     5.12673
  437	   92.211	     0.65048	     3.93399
  438	   92.414	     0.62618	     2.77470
  439	   92.601	     0.60700	     1.74324
  440	   92.804	     0.58559	     0.82234
  441	   93.007	     0.55428	     0.17166
  442	   93.210	     0.52000	     0.12519
  443	   93.412	     0.50118	     0.12762
  444	   93.615	     0.48309	     0.12549
  445	   93.802	     0.46188	     0.12207
  446	   94.005	     0.44169	     0.14197
  447	   94.208	     0.42001	     0.13982
  448	   94.411	     0.40104	     0.13725
  449	   94.614	     0.38033	     0.13921
  450	   94.801	     0.36082	     0.13655
  451	   95.004	     0.34033	     0.13238
  452	   95.206	     0.32120	     0.14107
  453	   95.409	     0.30077	     0.13664
  454	   95.612	     0.28033	     0.14314
  455	   95.815	     0.26151	     0.15463
  456	   96.002	     0.24341	     0.14192
  457	   96.205	     0.21889	     0.14399
  458	   96.408	     0.20231	     0.13910
  459	   96.610	     0.18165	     0.14298
  460	   96.813	     0.16122	     0.14833
  461	   97.016	     0.14172	     0.14414
  462	   97.203	     0.12127	     0.14895
  463	   97.406	     0.10028	     0.14257
  464	   97.609	     0.08008	     0.13580
  465	   97.812	     0.06156	     0.14394
  466	   98.014	     0.04019	     0.14415
  467	   98.202	     0.02164	     0.14555
  468	   98.404	    -0.00048	     0.14209
  469	   98.607	     0.01972	     0.15302	18	Load
  470	   98.810	     0.03675	     0.14350
  471	   99.013	     0.05965	     0.15615
  472	   99.216	     0.07743	     0.14467
  473	   99.403	     0.09805	     0.15410
  474	   99.606	     0.11842	     0.15857
  475	   99.808	     0.13854	     0.14351
  476	  100.011	     0.15874	     0.15936
  477	  100.214	     0.17804	     0.16104
  478	  100.401	     0.19734	     0.15589
  479	  100.604	     0.21782	     0.15189
  480	  100.807	     0.23840	     0.14993
  481	  101.010	     0.26092	     0.15117
  482	  101.212	     0.27901	     0.15970
  483	  101.415	     0.29881	     0.15044
  484	  101.602	     0.31845	     0.15605
  485	  101.805	     0.33794	     0.15559
  486	  102.008	     0.35809	     0.15144
  487	  102.211	     0.37805	     0.15115
  488	  102.414	     0.39864	     0.15191
  489	  102.601	     0.41745	     0.16034
  490	  102.804	     0.43940	     0.15452
  491	  103.006	     0.45922	     0.15919
  492	  103.209	     0.48085	     0.15584
  493	  103.412	     0.49823	     0.15880
  494	  103.615	     0.51798	     0.16581
  495	  103.802	     0.53649	     0.17896
  496	  104.005	     0.55425	     0.32197
  497	  104.208	     0.56084	     0.68394
  498	  104.410	     0.57431	     1.26310
  499	  104.613	     0.58912	     2.03935
  500	  104.816	     0.60457	     2.92502
  501	  105.003	     0.61741	     3.92271
  502	  105.206	     0.63412	     5.05034
  503	  105.409	     0.65048	     6.26488
  504	  105.612	     0.67092	     7.42580
  505	  105.814	     0.68790	     8.59641
  506	  106.002	     0.70673	     9.74631
  507	  106.204	     0.72556	    10.97866
  508	  106.407	     0.75237	    12.02714
  509	  106.610	     0.76846	    12.92967
  510	  106.813	     0.79901	    13.85736
  511	  107.016	     0.85504	    13.43115
  512	  107.203	     0.85931	    13.07216
  513	  107.406	     0.86756	    13.23169
  514	  107.608	     0.88079	    13.02890	19	Unload
  515	  107.811	     0.87194	    12.17119
  516	  108.014	     0.85793	    11.02750
  517	  108.201	     0.84110	     9.84585
  518	  108.404	     0.82335	     8.54155
  519	  108.607	     0.80555	     7.22802
  520	  108.810	     0.78702	     5.99497
  521	  109.013	     0.76726	     4.74638
