   No.   	Time N (s)	Depth N (µm)	Force N (mN)
    1	    0.109	     0.00878	     0.15124	1	Find Surface
    2	    0.608	    -0.00264	     0.07661
    3	    0.905	    -0.00012	     0.05072
    4	    1.201	     0.00000	     0.04115
    5	    1.513	    -0.00104	     0.06763
    6	    1.810	    -0.00050	     0.06970
    7	    2.106	     0.00213	     0.03720
    8	    2.512	     0.00928	     0.19039	2	Load
    9	    2.902	     0.01650	     0.44406
   10	    3.307	     0.02623	     0.75126
   11	    3.713	     0.03379	     1.19677
   12	    4.103	     0.04332	     1.75045
   13	    4.509	     0.05282	     2.23826
   14	    4.914	     0.05912	     2.71697
   15	    5.304	     0.06622	     3.29835
   16	    5.710	     0.07671	     3.95338
   17	    6.115	     0.08783	     4.50525
   18	    6.505	     0.08617	     4.37060	3	Unload
   19	    6.911	     0.07935	     3.89150
   20	    7.301	     0.07097	     3.27766
   21	    7.707	     0.06237	     2.66238
   22	    8.112	     0.05460	     2.02460
   23	    8.502	     0.04411	     1.42067
   24	    8.908	     0.03312	     0.96956
   25	    9.313	     0.02478	     0.54689
   26	    9.703	     0.01173	     0.20076
   27	   10.109	     0.00052	    -0.00740
   28	   10.312	     0.00559	     0.07051	4	Load
   29	   10.515	     0.01462	     0.19781
   30	   10.702	     0.02021	     0.44188
   31	   10.905	     0.02675	     0.76012
   32	   11.107	     0.03238	     1.19348
   33	   11.310	     0.04257	     1.61013
   34	   11.513	     0.05265	     2.07234
   35	   11.716	     0.05938	     2.56920
   36	   11.903	     0.06615	     3.15682
   37	   12.106	     0.07609	     3.71450
   38	   12.309	     0.08423	     4.32282
   39	   12.511	     0.09096	     4.91660
   40	   12.714	     0.10145	     5.55344
   41	   12.901	     0.10987	     6.18691
   42	   13.104	     0.11980	     6.81354
   43	   13.307	     0.12847	     7.40140
   44	   13.510	     0.13889	     8.02042
   45	   13.713	     0.15137	     8.54971
   46	   13.915	     0.16220	     9.05832
   47	   14.103	     0.17007	     9.48817
   48	   14.305	     0.17933	     9.63794	5	Unload
   49	   14.508	     0.17819	     9.27245
   50	   14.711	     0.17369	     8.77822
   51	   14.914	     0.16694	     8.09057
   52	   15.101	     0.15965	     7.42608
   53	   15.304	     0.14834	     6.62835
   54	   15.507	     0.14041	     5.92891
   55	   15.709	     0.13023	     5.25679
   56	   15.912	     0.12242	     4.54885
   57	   16.115	     0.11332	     3.85883
   58	   16.302	     0.10327	     3.25979
   59	   16.505	     0.09401	     2.60097
   60	   16.708	     0.08282	     1.98052
   61	   16.911	     0.07415	     1.46502
   62	   17.113	     0.06409	     0.93156
   63	   17.301	     0.05321	     0.50091
   64	   17.503	     0.03925	     0.10012
   65	   17.706	     0.02312	    -0.08482
